,Volume,Close/Last,Open,High,Low
,sum,mean,mean,max,min
Week_0,4183.0,145.5,144.825,148.65,141.14
Week_1,21418.0,146.26,147.56,149.85,144.5
Week_2,6747.0,148.8,148.45999999999998,151.12,145.8
Week_3,3629.0,147.7,147.67499999999998,149.32,146.15
Week_4,5537.0,142.56,143.42000000000002,144.74,140.4
Week_5,5546.0,131.85,131.35000000000002,134.0,127.75
Week_6,5322.0,133.78,132.64000000000001,138.62,129.0
Week_7,4155.0,136.44,136.62,139.84,134.45
Week_8,6178.0,139.62,139.72,141.64,136.6
Week_9,11613.0,141.18,139.24,144.82,137.94
Week_10,5880.0,140.72,141.28,143.42,137.95
Week_11,11972.0,138.38,138.42000000000002,143.2,135.01
Week_12,13482.0,136.84,135.35999999999999,139.35,131.55
Week_13,4218.0,136.48,136.1,139.88,132.5
Week_14,6164.0,134.55,134.7,136.2,133.0
Week_15,50264.0,133.85999999999999,134.72,138.28,130.08
Week_16,6816.0,134.07999999999998,135.84,137.93,130.68
Week_17,13676.0,135.26,134.64000000000001,137.84,131.95
Week_18,6425.0,133.72,133.83999999999997,136.44,129.45
Week_19,3961.0,134.7,134.94,135.5,133.97
Week_20,16903.0,131.52,131.02,140.0,126.38
Week_21,7229.0,124.82000000000001,125.74000000000001,128.58,121.45
Week_22,14788.0,125.7,124.2,129.22,120.6
Week_23,9717.0,125.66,126.0,129.92,122.76
Week_24,47848.0,125.8,125.14000000000001,128.15,121.35
Week_25,5253.0,126.69999999999999,127.225,128.68,124.05
Week_26,20176.0,126.82000000000001,127.81999999999998,131.74,124.0
Week_27,12445.0,126.05999999999999,126.82000000000001,131.59,124.91
Week_28,13793.0,128.95999999999998,129.14000000000001,134.84,125.2
Week_29,15978.0,130.68,132.4,134.85,127.3
Week_30,8726.0,134.55,133.525,137.34,129.45
Week_31,12862.0,136.0,137.825,139.84,132.81
Week_32,11715.0,138.62,138.5,140.0,135.25
Week_33,9444.0,132.75,134.475,136.58,131.62
Week_34,9195.0,133.38000000000002,133.82,137.34,130.3
Week_35,5098.0,132.02,134.24,136.59,131.25
Week_36,9115.0,128.72,128.34,133.84,121.75
Week_37,93622.0,123.47999999999999,124.14000000000001,127.38,118.16
Week_38,11854.0,127.8,127.4,129.9,123.91
Week_39,14672.0,129.72,129.24,133.1,126.25
Week_40,6515.0,128.95999999999998,130.76,133.45,126.0
Week_41,6620.0,133.72,134.7,136.4,131.42
Week_42,5448.0,131.04000000000002,131.07999999999998,134.5,127.3
